respondent_id,tracks_workouts,training_days,mon_training,tue_training,wed_training,thu_training,fri_training,sat_training,sun_training,monthly_spend,favorite_protocol,fitness_rating,experience_level,gender,age
1,Yes,5,Weightlifting,Weightlifting,Rest,Mixed/CrossFit,Mixed/CrossFit,Mixed/CrossFit,Rest,$51-$100,Active recovery (light jog),3,Intermediate,Male,22
2,Yes,3-4,Endurance/Hyrox,Endurance/Hyrox,Rest,Mixed/CrossFit,Weightlifting,Weightlifting,Rest,$51-$100,High-carb meal and 8 hours sleep,4,Intermediate,Male,20
3,No,5,Endurance/Hyrox,Rest,Boxing,Endurance/Hyrox,Weightlifting,Rest,Rest,$200+,Active recovery (light jog),4,Intermediate,Female,20
4,Yes,3-4,Weightlifting,Mixed/CrossFit,Weightlifting,Weightlifting,Endurance/Hyrox,Rest,Mixed/CrossFit,$200+,Ice bath & mobility,3,Advanced,Female,21
5,Yes,6+,Weightlifting,Weightlifting,Endurance/Hyrox,Weightlifting,Mixed/CrossFit,Rest,Boxing,$200+,Chocolate protein shake & stretching,5,Intermediate,Male,18
6,Yes,5,Mixed/CrossFit,Mixed/CrossFit,Boxing,Mixed/CrossFit,Boxing,Mixed/CrossFit,Rest,$0-$50,High-carb meal and 8 hours sleep,5,Intermediate,Female,18
7,Yes,6+,Mixed/CrossFit,Mixed/CrossFit,Rest,Weightlifting,Rest,Mixed/CrossFit,Rest,$200+,Massage gun & foam rolling,4,Beginner,Female,22
8,Yes,5,Boxing,Weightlifting,Weightlifting,Mixed/CrossFit,Weightlifting,Rest,Rest,$51-$100,Active recovery (light jog),3,Intermediate,Male,18
9,Yes,5,Mixed/CrossFit,Weightlifting,Rest,Weightlifting,Boxing,Weightlifting,Weightlifting,$0-$50,Active recovery (light jog),2,Advanced,Male,20
10,Yes,5,Weightlifting,Weightlifting,Weightlifting,Boxing,Weightlifting,Endurance/Hyrox,Endurance/Hyrox,$0-$50,High-carb meal and 8 hours sleep,2,Intermediate,Male,18
11,Yes,6+,Weightlifting,Boxing,Weightlifting,Rest,Weightlifting,Endurance/Hyrox,Weightlifting,$0-$50,Active recovery (light jog),3,Elite,Male,23
12,Yes,5,Weightlifting,Mixed/CrossFit,Weightlifting,Mixed/CrossFit,Mixed/CrossFit,Endurance/Hyrox,Rest,$0-$50,Chocolate protein shake & stretching,5,Intermediate,Female,23
13,Yes,5,Mixed/CrossFit,Weightlifting,Rest,Boxing,Weightlifting,Endurance/Hyrox,Mixed/CrossFit,$101-$200,Active recovery (light jog),2,Beginner,Female,19
14,No,3-4,Mixed/CrossFit,Mixed/CrossFit,Endurance/Hyrox,Endurance/Hyrox,Weightlifting,Rest,Mixed/CrossFit,$0-$50,Creatine + full rest,4,Intermediate,Male,23
15,No,5,Mixed/CrossFit,Rest,Rest,Mixed/CrossFit,Mixed/CrossFit,Rest,Rest,$101-$200,Chocolate protein shake & stretching,2,Intermediate,Male,22
16,Yes,5,Boxing,Weightlifting,Rest,Endurance/Hyrox,Weightlifting,Endurance/Hyrox,Endurance/Hyrox,$101-$200,Chocolate protein shake & stretching,5,Intermediate,Male,21
17,Yes,6+,Weightlifting,Mixed/CrossFit,Endurance/Hyrox,Mixed/CrossFit,Endurance/Hyrox,Endurance/Hyrox,Rest,$0-$50,Active recovery (light jog),2,Intermediate,Female,18
18,Yes,1-2,Boxing,Endurance/Hyrox,Rest,Mixed/CrossFit,Mixed/CrossFit,Boxing,Rest,$51-$100,Massage gun & foam rolling,4,Elite,Female,19
19,No,3-4,Weightlifting,Endurance/Hyrox,Boxing,Mixed/CrossFit,Endurance/Hyrox,Rest,Weightlifting,$51-$100,Ice bath & mobility,4,Intermediate,Female,18
20,Yes,5,Mixed/CrossFit,Weightlifting,Rest,Mixed/CrossFit,Mixed/CrossFit,Mixed/CrossFit,Boxing,$51-$100,Chocolate protein shake & stretching,5,Advanced,Female,18
21,No,3-4,Weightlifting,Rest,Endurance/Hyrox,Rest,Endurance/Hyrox,Endurance/Hyrox,Rest,$51-$100,Ice bath & mobility,3,Intermediate,Male,23
22,Yes,5,Weightlifting,Mixed/CrossFit,Rest,Boxing,Endurance/Hyrox,Mixed/CrossFit,Rest,$51-$100,Creatine + full rest,4,Beginner,Male,22
23,Yes,5,Weightlifting,Weightlifting,Rest,Endurance/Hyrox,Mixed/CrossFit,Rest,Boxing,$101-$200,Ice bath & mobility,5,Intermediate,Female,20
24,Yes,3-4,Boxing,Mixed/CrossFit,Endurance/Hyrox,Mixed/CrossFit,Endurance/Hyrox,Weightlifting,Rest,$0-$50,High-carb meal and 8 hours sleep,2,Intermediate,Male,19
25,No,3-4,Rest,Mixed/CrossFit,Mixed/CrossFit,Weightlifting,Endurance/Hyrox,Endurance/Hyrox,Rest,$51-$100,Massage gun & foam rolling,5,Beginner,Male,20
26,Yes,5,Mixed/CrossFit,Mixed/CrossFit,Rest,Rest,Mixed/CrossFit,Rest,Rest,$101-$200,Active recovery (light jog),5,Intermediate,Female,19
27,No,5,Mixed/CrossFit,Mixed/CrossFit,Rest,Weightlifting,Weightlifting,Endurance/Hyrox,Rest,$51-$100,Creatine + full rest,4,Beginner,Male,21
28,No,1-2,Mixed/CrossFit,Weightlifting,Rest,Mixed/CrossFit,Mixed/CrossFit,Mixed/CrossFit,Endurance/Hyrox,$0-$50,Massage gun & foam rolling,2,Intermediate,Male,20
29,Yes,3-4,Weightlifting,Endurance/Hyrox,Mixed/CrossFit,Endurance/Hyrox,Weightlifting,Endurance/Hyrox,Endurance/Hyrox,$101-$200,Chocolate protein shake & stretching,3,Advanced,Male,25
30,No,3-4,Mixed/CrossFit,Weightlifting,Rest,Boxing,Rest,Endurance/Hyrox,Boxing,$200+,Active recovery (light jog),4,Intermediate,Male,25
31,Yes,3-4,Boxing,Mixed/CrossFit,Rest,Boxing,Boxing,Boxing,Rest,$101-$200,Massage gun & foam rolling,4,Advanced,Prefer not to say,21
32,Yes,6+,Mixed/CrossFit,Mixed/CrossFit,Weightlifting,Weightlifting,Weightlifting,Mixed/CrossFit,Rest,$0-$50,Massage gun & foam rolling,3,Elite,Male,18
33,No,6+,Mixed/CrossFit,Weightlifting,Rest,Mixed/CrossFit,Endurance/Hyrox,Endurance/Hyrox,Boxing,$101-$200,High-carb meal and 8 hours sleep,4,Intermediate,Male,23
34,Yes,5,Mixed/CrossFit,Mixed/CrossFit,Mixed/CrossFit,Mixed/CrossFit,Weightlifting,Endurance/Hyrox,Rest,$0-$50,Chocolate protein shake & stretching,3,Intermediate,Female,19
35,Yes,1-2,Boxing,Boxing,Rest,Mixed/CrossFit,Rest,Rest,Rest,$101-$200,Chocolate protein shake & stretching,2,Intermediate,Male,21
36,Yes,6+,Boxing,Rest,Weightlifting,Weightlifting,Weightlifting,Rest,Weightlifting,$200+,Ice bath & mobility,5,Intermediate,Male,21
37,Yes,6+,Mixed/CrossFit,Weightlifting,Boxing,Mixed/CrossFit,Boxing,Mixed/CrossFit,Weightlifting,$51-$100,Ice bath & mobility,5,Advanced,Female,21
38,Yes,5,Mixed/CrossFit,Endurance/Hyrox,Boxing,Weightlifting,Mixed/CrossFit,Endurance/Hyrox,Mixed/CrossFit,$0-$50,Massage gun & foam rolling,2,Intermediate,Male,25
39,No,6+,Boxing,Boxing,Endurance/Hyrox,Mixed/CrossFit,Boxing,Mixed/CrossFit,Rest,$51-$100,Chocolate protein shake & stretching,3,Intermediate,Male,20
